time,prob
5.928329229354858,0.4397032976953027
9.09095549583435,0.45856345895142525
12.711450815200806,0.5085996842685356
16.1784987449646,0.5453932959401709
19.74653697013855,0.5214225386428649
23.70667266845703,0.4703864558613241
27.95527935028076,0.49774631967529226
33.518961668014526,0.48933397880559565
38.52316641807556,0.5163224675031417
43.84385895729065,0.3989021568906606
49.34244990348816,0.41269991655156535
54.01305556297302,0.44928457762673435
58.74582767486572,0.4401444259434525
63.558863162994385,0.4256467013888889
67.98975801467896,0.48790123697645704
72.78628087043762,0.3961292730794156
78.24944806098938,0.4972968127344116
83.21614646911621,0.3057003842751573
87.90634870529175,0.5383484925682411
93.33965492248535,0.49280561403084266
98.47304344177246,0.5163337602875284
103.0379490852356,0.414039535233382
107.89883208274841,0.49515659302963777
112.64205312728882,0.4995006545992714
117.59523868560791,0.5091277326794946
122.37128734588623,0.5554958272249709
127.33612036705017,0.44308258312177085
132.35039639472961,0.43792583099481425
136.08641242980957,0.47187250161597605
141.36286616325378,0.5042699350754849
146.31730484962463,0.5396268634131156
152.56794714927673,0.5470350771414888
157.14847993850708,0.37341211801660745
161.05840873718262,0.3764400169416779
165.43927454948425,0.3869285832058615
169.91991114616394,0.3795103174094598
174.78353428840637,0.4446169391535861
180.96745491027832,0.32791892598934547
186.63214421272278,0.4739734537656682
191.55351305007935,0.42994108016395083
196.3072452545166,0.4724121482872742
201.15565943717957,0.27665572834191077
206.18591117858887,0.2676452779934438
210.54435443878174,0.40479404931173757
215.0719633102417,0.48979738707770165
219.42970442771912,0.41267668653436335
223.52394008636475,0.4497611810006156
228.28786659240723,0.48688733206475626
233.28865551948547,0.52298289003114
238.27079916000366,0.4062812382795078
242.23974442481995,0.55732325437998
246.97906017303467,0.34834644295694606
251.58913207054138,0.434223492687638
255.47312808036804,0.5105348584991369
260.0502014160156,0.36341500590214987
264.7105975151062,0.497262921960556
269.2718300819397,0.38975849147414743
273.8333601951599,0.4985707623628002
280.4866256713867,0.40935978892858194
284.7631468772888,0.4614359709884377
289.10538816452026,0.28022742709654047
293.3043329715729,0.3792153677934511
297.37830090522766,0.4319763505977873
301.38437128067017,0.4803054037283481
305.5775372982025,0.5883854013299961
309.8276011943817,0.4957905466890662
313.7277343273163,0.3330218239136821
317.9636151790619,0.47920203878297307
322.1601529121399,0.4685103652112015
327.2864339351654,0.38603074991387953
332.920209646225,0.47214849835933737
337.836430311203,0.43451410104828314
342.56089878082275,0.421525353093934
346.376722574234,0.4712020933283826
353.75032448768616,0.49307033569970304
357.63469982147217,0.46713361178174134
363.9063334465027,0.47297834221709056
369.2675199508667,0.4832652472964376
375.71097564697266,0.4938335661907223
381.3702883720398,0.5140639384205892
385.4112961292267,0.4688681821266757
391.2042598724365,0.5129664690630469
396.820876121521,0.4769941417163823
402.05952072143555,0.4670105702113555
406.3174648284912,0.4518738685359009
411.38255643844604,0.488714117703533
416.7611789703369,0.44985324366955887
421.06677889823914,0.4305884596226639
425.0705451965332,0.47519011082481094
429.1407563686371,0.36882058173648247
433.97868156433105,0.494174084053439
438.2497441768646,0.5916652252460024
442.3999242782593,0.5303241286687631
446.6250729560852,0.42240008172478205
450.8279757499695,0.5125374842171717
454.98758578300476,0.4547971151509629
459.0495743751526,0.42215826290698305
463.20561361312866,0.5238577646856843
467.1562476158142,0.44735762833988013
471.4333152770996,0.4940296955659688
475.4419996738434,0.49161039255220684
480.0689880847931,0.4398223895793053
484.5371468067169,0.4159282901422764
489.37989377975464,0.406106629882355
493.7409749031067,0.44761471219528437
497.97665667533875,0.36964403673054586
502.3109531402588,0.4164325221713325
506.61887979507446,0.45543661898167354
510.83010506629944,0.4709099340074283
515.509094953537,0.5297391277240638
520.0355086326599,0.5082939349630073
524.9474256038666,0.4952777842533881
529.3661642074585,0.48734311381656487
532.083089351654,0.508298079648526
534.100424528122,0.5090870072472571
536.1247673034668,0.49882308267651176
538.2025904655457,0.5056667769515166
540.2240242958069,0.510787487786153
542.2241299152374,0.5026876165649373
544.2125587463379,0.5098837555576795
546.2690408229828,0.5115385372899159
548.2686142921448,0.5092763291067496
